"","Subject","SE","AN","GE","RE","ZA","RZ","FA","WA","MA","V_sum","N_sum","F_sum","Total_sum","age","gender","education","work","study","handedness","colorblind","extraversion","agreeableness","conscientiousness","neuroticism","openness","geselligkeit","durchsetzungsfähigkeit","aktivität","mitgefühl","höflichkeit","zwischenmenschliches_vertrauen","ordnungsliebe","fleiß","verlässlichkeit","ängstlichkeit","niedergeschlagenheit","unbeständigkeit_der_gefühle","ästhetisches_empfinden","intellektuelle_neugierde","kreativer_einfallsreichtum"
"1",8,14,16,13,12,16,14,6,10,10,43,42,26,111,58,"männlich","Promotion","ohne Beschäftigung","Nein","Rechtshändig","Nein",2.75,3.5,4.25,1.83333333333333,4.25,2.75,2.75,2.75,3.5,4.75,2.25,4.25,3.75,4.75,2.75,1.5,1.25,5,4.25,3.5
"2",43,12,10,8,8,10,12,13,11,14,30,30,38,98,25,"weiblich","Ausbildung","im Studium","Ja","Rechtshändig","Nein",4,4.83333333333333,4.66666666666667,2.41666666666667,4,4.75,3.25,4,5,5,4.5,5,4.25,4.75,3.25,2.25,1.75,4.5,3.5,4
"3",46,12,13,11,12,12,16,11,13,11,36,40,35,111,19,"weiblich","Abitur","Berufstätig","Nein","Rechtshändig","Nein",4.58333333333333,4.25,2.41666666666667,4.41666666666667,3.25,5,4,4.75,5,4,3.75,2,2.5,2.75,4.25,4.25,4.75,3.5,3,3.25
"4",55,16,15,7,10,19,10,10,9,12,38,39,31,108,23,"weiblich","Abitur","im Studium","Nein","Rechtshändig","Nein",3.5,4.33333333333333,3.75,1.58333333333333,3.83333333333333,3.25,3.25,4,4.5,4.5,4,4.5,2.75,4,2,1,1.75,3.5,4.5,3.5
"5",64,8,5,9,4,1,6,5,10,9,22,11,24,57,45,"weiblich","Realschulsabschluss","Berufstätig","Nein","Rechtshändig","Nein",2,4.25,4.33333333333333,4.33333333333333,3.41666666666667,2.25,1.5,2.25,5,4.75,3,5,3,5,4.75,3.5,4.75,3.5,4,2.75
"6",73,16,11,12,7,14,11,10,15,7,39,32,32,103,40,"männlich","Bachelor","Berufstätig","Nein","Rechtshändig","Nein",3.41666666666667,4.33333333333333,2.75,3.58333333333333,4,2.5,3.5,4.25,4.5,4.5,4,2.75,2.25,3.25,4.5,3.5,2.75,3.25,4,4.75
"7",75,15,13,7,7,11,12,5,12,10,35,30,27,92,52,"weiblich","Promotion","Sonstiges","Ja","Rechtshändig","Nein",3.25,4.5,4.58333333333333,1.58333333333333,4.16666666666667,2.75,3,4,4.75,5,3.75,4.75,4.25,4.75,2,1.25,1.5,4.25,3.75,4.5
"8",78,14,8,9,4,9,7,5,10,7,31,20,22,73,23,"weiblich","Ausbildung","Berufstätig","Nein","Rechtshändig","Nein",2.41666666666667,2.83333333333333,3.33333333333333,3.83333333333333,4.08333333333333,1.5,3.5,2.25,4,2.5,2,3.75,2.5,3.75,4.5,3.25,3.75,5,3.5,3.75
"9",89,18,16,17,13,17,16,16,7,11,51,46,34,131,36,"weiblich","Promotion","Berufstätig","Nein","Rechtshändig","Nein",3.41666666666667,4.5,4,1.75,3.83333333333333,3.5,3.25,3.5,4.75,4.75,4,4,3.75,4.25,2.25,1.5,1.5,4,4.25,3.25
"10",90,17,13,14,11,13,13,10,11,15,44,37,36,117,18,"weiblich","Abitur","Sonstiges","Nein","Rechtshändig","Nein",3.5,4.66666666666667,3.25,2.58333333333333,3.5,3.75,2.25,4.5,5,4.75,4.25,3,3,3.75,3,2,2.75,3,3.75,3.75
